Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,54,,
55,138,0.21111405511811024,127
54,79,0.19795060984848484,40
53,37,0.21134878168497462,17
52,25,0.20909987017981563,10
51,123,0.20247775707281002,33
50,86,0.17930584877340952,9
49,138,0.14475279843396213,22
48,149,0.18051501461502417,23
47,211,0.16311722002415818,57
46,170,0.08360867218779545,113
45,48,0.19799051447210445,13
44,1344,0.1860244087247097,2
43,11,0.31562982283539476,7
42,606,0.2653350779600395,604
41,74,,
40,1,,
39,3,,
38,1,,
37,7,0.15026739045020815,1
36,28,,
35,3,,
34,13,,
33,16,0.42022200615831745,1
32,12,0.3869026518085049,1
31,56,,
30,5,,
29,9,0.24730780994849466,6
28,4,0.3401990207533474,2
27,13,0.029997796730455606,2
26,6,,
25,66,0.1653268356446897,15
24,1,,
23,3,,
19,1,,
16,1,,
