Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,52,,
55,148,0.21422362451636073,135
54,72,0.19720491145870267,41
53,36,0.17250623957658393,17
52,24,0.16536943828242434,9
51,125,0.23539615677352088,34
50,84,0.17948080552199516,8
49,140,0.220681954837728,23
48,147,0.21600542343214568,22
47,212,0.20435264273250034,57
46,159,0.09766870599075836,102
45,60,0.20775717991753062,14
44,1344,0.10015857555655057,3
43,11,0.28245157900430873,8
42,609,0.25961825021221147,608
41,70,,
40,1,,
39,2,,
38,1,,
37,8,0.13761792387714605,1
36,28,,
35,3,,
34,13,,
33,16,0.26260468746880783,1
32,12,0.0381483729730806,1
31,56,,
30,5,,
29,9,0.24868675381824384,6
28,4,0.43216288000908165,2
27,13,0.04794935939712369,2
26,6,,
25,66,0.1532678184041031,15
24,1,,
23,3,,
19,1,,
16,1,,
