Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,48,,
55,150,0.20996347870742807,133
54,75,0.1849494687776203,42
53,34,0.21409030989184422,16
52,25,0.14143538449229065,9
51,125,0.22018910490745497,34
50,85,0.20010400202810003,9
49,136,0.17313023985156942,20
48,155,0.18037229779962713,27
47,210,0.17211601137018764,60
46,166,0.08871962637298118,112
45,51,0.1883093546862753,15
44,1343,0.14634351465890294,3
43,11,0.30053061198304976,8
42,599,0.2548932918912835,598
41,80,,
39,4,0.12162188779352305,3
38,1,,
37,7,0.18051345848239153,1
36,28,,
35,3,,
34,13,,
33,16,0.38734143816823724,1
32,12,0.1682783418061461,1
31,56,,
30,5,,
29,7,0.26085148211130055,4
28,6,0.3216720270093834,2
27,13,0.02624017150926819,2
26,6,,
25,66,0.16948100750935527,15
24,1,,
23,3,,
19,1,,
16,1,,
