Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,51,,
55,150,0.24765574656385736,136
54,71,0.1651734777642606,41
53,34,0.118609118472522,15
52,28,0.10701025249506436,11
51,124,0.26275983325542984,35
50,82,0.21205686278590266,7
49,141,0.38551684226537836,23
48,148,0.24551149641494274,23
47,215,0.30123670799192614,61
46,150,0.1677612260003473,97
45,65,0.27160008455743384,14
44,1344,0.06852413982769227,3
43,11,0.21299243852257257,8
42,612,0.25955276380633396,611
41,67,,
40,1,,
39,3,,
38,1,,
37,7,0.20436362015414655,1
36,28,,
35,3,,
34,13,,
33,16,0.1863081900942082,1
32,12,0.12206205563241823,1
31,56,,
30,5,,
29,9,0.383509615772165,6
28,3,0.3091773174831688,1
27,14,1.0618681882911314,2
26,6,,
25,62,0.33570387004693647,11
24,5,,
23,3,,
19,1,,
16,1,,
