Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,52,,
55,145,0.21241584490156928,132
54,78,0.18996963587319782,44
53,33,0.2169240885510421,17
52,25,0.2006964621249057,10
51,126,0.21698166927869855,36
50,82,0.17023524278080762,8
49,139,0.18954491321268774,22
48,150,0.17445498295063566,24
47,215,0.17688000754292596,62
46,162,0.08918050801597532,110
45,51,0.2098688824248572,13
44,1345,0.14052534037080305,3
43,11,0.2939688967131768,8
42,596,0.25182650716778704,595
41,83,,
39,4,0.19734040907184883,3
37,8,0.19894769132475892,1
36,28,,
35,3,,
34,13,,
33,16,0.41484240351014096,1
32,11,,
31,57,,
30,5,,
29,8,0.2511245922948896,5
28,5,0.3578530176117902,2
27,13,0.004812227359640653,2
26,6,,
25,65,0.1612039883643373,14
24,2,,
23,3,,
19,1,,
16,1,,
