Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,50,,
55,145,0.21157692307692308,130
54,77,0.11498048780487805,41
53,35,0.132675,16
52,26,0.09510000000000002,10
51,123,0.3261787878787879,33
50,85,0.33762499999999995,8
49,141,0.180125,24
48,146,0.1983181818181818,22
47,214,0.178564406779661,59
46,169,0.20304473684210525,114
45,49,0.23313333333333336,15
44,1342,0.11140000000000003,2
43,9,0.11939999999999999,5
42,607,0.31792437810945273,603
41,75,,
40,1,,
39,3,,
38,1,,
37,7,0.09199999999999997,1
36,28,,
35,3,,
34,13,,
33,16,0.01,1
32,12,0.044300000000000006,1
31,56,,
30,5,,
29,9,0.42283333333333334,6
28,4,0.09000000000000002,2
27,13,0.33,2
26,6,,
25,65,0.15064285714285713,14
24,2,,
23,3,,
19,1,,
16,1,,
