Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,51,0.2452468814633754,50
55,147,0.24152702650117025,132
54,76,0.1714036469524386,42
53,33,0.23141498835800112,15
52,28,0.12405088364549094,11
51,124,0.24074732688481446,35
50,83,0.26328852044007983,8
49,137,0.29206091506476994,20
48,150,0.2981425896628008,22
47,216,0.3318220019172203,61
46,165,0.1876542023222854,112
45,51,0.24192530505491003,15
44,1343,0.08247322732039994,3
43,10,0.29449663524101016,7
42,603,0.2668815305817791,601
41,77,,
40,1,,
39,3,,
38,1,,
37,7,0.2208240512329982,1
36,28,,
35,3,,
34,13,,
33,16,0.232373206662763,1
32,12,0.08040749045615525,1
31,56,,
30,5,,
29,9,0.26657614660892026,6
28,3,0.36423495675598144,1
27,14,0.0432781887854225,2
26,6,,
25,65,0.2566308761953833,14
24,2,,
23,3,,
19,1,,
16,1,,
