Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,50,0.2890809345395843,49
55,152,0.2796664986236125,136
54,71,0.23544147548213187,41
53,36,0.21876904525992497,17
52,27,0.22972340368155544,12
51,123,0.22328797471417605,35
50,82,0.2538241130213406,7
49,142,0.22671225833142888,24
48,146,0.1960977939488272,22
47,215,0.17251153020981447,60
46,170,0.09184147162424648,116
45,42,0.21611452601842432,10
44,1347,0.049912071077495235,2
43,11,0.29634240248144933,7
42,598,0.2527285310060523,596
41,82,,
40,1,,
39,3,,
38,1,,
37,7,0.17805247489705123,1
36,28,,
35,3,,
34,13,,
33,16,0.45863811273329647,1
32,12,0.3705678948262002,1
31,56,,
30,5,,
29,8,0.236313049871429,5
28,5,0.38377295846298487,2
27,13,0.09525712059572808,2
26,6,,
25,65,0.15956737574722335,14
24,2,,
23,3,,
19,1,,
16,1,,
