Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,51,,
55,152,0.3101767903176339,138
54,69,6.898383545717088,41
53,38,0.3277359269341356,19
52,22,9.692278333382474,9
51,123,50.99900648359582,32
50,86,58840022400.80511,8
49,140,2561.1732448873463,23
48,151,48447.46188201647,26
47,208,24526.684162487752,57
46,166,3398.3080704858867,109
45,54,527.1688380855918,15
44,1342,413.5991898012307,2
43,11,326.99126409091275,7
42,598,565.1241416745464,596
41,82,,
40,1,,
39,3,,
37,8,50.33015728613259,1
36,28,,
35,3,,
34,13,,
33,16,61.862320893929414,1
32,12,43.86951747495079,1
31,56,,
30,5,,
29,8,514.490749217454,5
28,5,466.4145730267182,2
27,12,326.7727331273287,1
26,7,,
25,67,443.2603459358683,16
23,3,,
19,1,,
16,1,,
