Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,54,0.26923056181943283,53
55,147,0.2133081407396333,135
54,74,0.2417208086865292,43
53,34,0.21609405817495683,17
52,25,0.20561265639640602,10
51,123,0.2375171397383382,33
50,86,0.19879986947668896,9
49,139,0.1973620714762375,23
48,149,0.19032012639780438,24
47,212,0.17669155582382445,59
46,167,0.08994484006516922,112
45,51,0.1914995115070909,15
44,1343,0.1297454683855613,3
43,11,0.303445366797496,8
42,591,0.2570478604690544,590
41,88,,
40,1,,
39,2,,
38,2,0.5411195433044932,1
37,7,0.20761057608987732,1
36,28,,
35,3,,
34,13,,
33,16,0.49107501962728206,1
32,12,0.32916168114754013,1
31,56,,
30,5,,
29,9,0.30866863346800766,6
28,4,0.37675336577811025,2
27,13,0.026205866046780962,2
26,6,,
25,65,0.15980708756947865,14
24,2,,
23,3,,
19,1,,
16,1,,
