Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,51,,
55,144,0.15591384615384615,130
54,75,0.11078717948717948,39
53,37,0.12796875,16
52,28,0.1250166666666667,12
51,116,0.2864892857142857,28
50,89,0.272,7
49,141,0.19647826086956524,23
48,150,0.193112,25
47,212,0.16362,60
46,168,0.20280350877192982,114
45,48,0.20457142857142857,14
44,1344,0.12366666666666666,3
43,10,0.209,7
42,607,0.2913006611570248,605
41,73,,
40,1,,
39,2,,
38,2,0.045,1
37,7,0.18999999999999995,1
36,28,,
35,3,,
34,13,,
33,15,,
32,13,0.18399999999999994,1
31,56,,
30,5,,
29,9,0.3928333333333333,6
28,4,0.21149999999999997,2
27,12,0.040000000000000036,1
26,7,,
25,66,0.2597333333333333,15
24,1,,
23,3,,
19,1,,
16,1,,
