Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,48,,
55,151,0.22125075710440595,134
54,72,0.19003577738269672,40
53,38,0.22479360704524165,18
52,24,0.240929349056921,10
51,121,0.22910196760082807,31
50,87,0.2402351629605493,8
49,142,0.19453655140428658,25
48,149,0.19718232072850606,26
47,209,0.18350363192530642,58
46,164,0.08577663056797266,108
45,54,0.21470324174580382,14
44,1344,0.08674007350020603,3
43,11,0.28050618191628646,8
42,606,0.25274180616835756,605
41,73,,
40,1,,
39,3,,
38,1,,
37,7,0.1708728947917581,1
36,28,,
35,3,,
34,13,,
33,16,0.4674400340177139,1
32,12,0.37015969761349926,1
31,56,,
30,5,,
29,7,0.15661158240711234,4
28,6,0.38451959175736905,2
27,13,0.041247665613034556,2
26,6,,
25,63,0.13496063602381445,12
24,4,,
23,3,,
19,1,,
16,1,,
