Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,50,,
55,147,0.2190308407838649,132
54,74,0.2185895916467878,40
53,37,0.20731803487646416,17
52,27,0.19741179858764188,12
51,120,0.20960466814709366,32
50,86,0.17777416791790557,8
49,139,0.20067044363123984,22
48,146,0.1910584080479304,20
47,212,0.17042987612018254,55
46,170,0.09042060061660694,111
45,50,0.21246036024107373,13
44,1345,0.11432367673797081,3
43,8,0.3632087709465022,5
42,615,0.2522311280502016,611
41,67,,
40,1,,
39,3,,
38,1,,
37,7,0.1612824257450392,1
36,28,,
35,3,,
34,13,,
33,16,0.39294612032432674,1
32,12,0.25800035648193365,1
31,56,,
30,5,,
29,9,0.2019713175163314,6
28,3,0.2913563903967365,1
27,14,0.038756440793360075,2
26,6,,
25,67,0.1471473677811337,16
23,3,,
19,1,,
16,1,,
