Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,52,,
55,145,0.21456732118666857,132
54,73,0.1826859640631101,39
53,38,0.17077166955914722,17
52,24,0.1624518668633686,9
51,122,0.19358735619453843,31
50,88,0.165213008326547,9
49,137,0.22788663448583374,21
48,151,0.20550053397602402,24
47,213,0.1975410314637068,60
46,163,0.11036123413515699,109
45,53,0.24385297115368157,14
44,1344,0.02779541204173938,3
43,10,0.27947350644448193,7
42,607,0.25681246741487895,605
41,73,,
40,1,,
39,3,,
38,1,,
37,7,0.19165361555113974,1
36,28,,
35,3,,
34,13,,
33,16,0.2910621718998949,1
32,12,0.0183859213571409,1
31,56,,
30,5,,
29,7,0.31954270616437996,4
28,6,0.41949754397607153,2
27,13,0.13660892434628213,2
26,6,,
25,67,0.12608751370033047,16
23,3,,
19,1,,
16,1,,
