Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,46,,
55,151,0.19787284619850792,132
54,78,0.1976124628574936,44
53,32,0.17291580701840567,16
52,27,0.17878484008022374,11
51,124,0.22191456801460194,35
50,83,0.1505569125823366,8
49,140,0.24744041270360573,23
48,148,0.2409126080436978,23
47,212,0.19070647767699103,58
46,165,0.10393899063159961,109
45,54,0.22302955295408847,15
44,1343,0.08676075676622609,3
43,11,0.2860871852658195,8
42,602,0.26243689036992895,601
41,77,,
40,1,,
39,2,,
38,2,0.2942393571330823,1
37,7,0.20731369032003488,1
36,28,,
35,3,,
34,13,,
33,16,0.2986503389651674,1
32,12,0.04704401411499004,1
31,56,,
30,5,,
29,9,0.20561071717697169,6
28,4,0.4000802172344697,2
27,12,0.013925932706383926,1
26,7,,
25,67,0.16245897036327434,16
23,3,,
19,1,,
16,1,,
