Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,48,,
55,151,0.2100063078784326,134
54,73,0.18426505758079614,41
53,37,0.19271921096156217,18
52,24,0.22690086850230204,10
51,122,0.2176244241561399,32
50,87,0.1919565127770005,9
49,139,0.20135729760548574,23
48,150,0.22405777652354625,25
47,214,0.180560707841451,62
46,164,0.09888965310546588,112
45,50,0.2133856156698924,14
44,1344,0.08446439570076604,3
43,10,0.2855594439477102,7
42,599,0.2622506888445422,597
41,81,,
39,3,0.20495403962862557,2
38,2,0.31055525311133064,1
37,7,0.07379848586305199,1
36,28,,
35,3,,
34,13,,
33,16,0.2361435330043865,1
32,12,0.016758560979395543,1
31,56,,
30,5,,
29,7,0.20142943942087582,4
28,6,0.3653570589051215,2
27,12,0.10220544434283174,1
26,7,,
25,67,0.21082581141206774,16
23,3,,
19,1,,
16,1,,
