Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,47,,
55,151,0.15992781954887217,133
54,74,0.11673658536585366,41
53,36,0.09833529411764706,17
52,26,0.11154545454545454,11
51,123,0.30273529411764705,34
50,83,0.3721428571428571,7
49,142,0.16691666666666666,24
48,149,0.16312000000000001,25
47,210,0.19672931034482757,58
46,168,0.20668660714285714,112
45,51,0.24624666666666667,15
44,1343,0.10333333333333333,3
43,8,0.17880000000000001,5
42,603,0.28674540901502504,599
41,79,,
40,1,,
39,3,,
37,8,0.26,1
36,28,,
35,3,,
34,13,,
33,16,0.037,1
32,12,0.02279999999999993,1
31,56,,
30,5,,
29,9,0.21566666666666665,6
28,4,0.35500000000000004,2
27,13,0.14500000000000002,2
26,6,,
25,67,0.16675,16
23,3,,
19,1,,
16,1,,
