Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,49,0.21640850154191726,48
55,154,0.21267572650881536,137
54,70,0.19367095031465772,41
53,36,0.20191407162566605,17
52,27,0.186014247774349,12
51,120,0.2388787312465972,32
50,86,0.16358506306973214,8
49,139,0.20421688264722715,22
48,147,0.19644808708934108,21
47,211,0.1797416596958833,55
46,173,0.09117409155010481,114
45,46,0.20120885526862328,12
44,1345,0.06311436294086836,2
43,11,0.3008389127985496,7
42,607,0.26060911795069086,605
41,73,,
40,1,,
39,3,,
37,8,0.10014524004536157,1
36,28,,
35,3,,
34,13,,
33,16,0.4075041075352759,1
32,12,0.22264730669407762,1
31,56,,
30,5,,
29,9,0.18551795461278714,6
28,4,0.3237826522355802,2
27,12,0.06506972990675997,1
26,7,,
25,67,0.18354858671898427,16
23,3,,
19,1,,
16,1,,
