Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,50,0.2538217514933394,48
55,152,0.2297877401651841,135
54,69,6.340373056662711,38
53,39,0.12456996688378207,17
52,24,2.166816492780215,9
51,124,22.813882976462445,33
50,86,128181775024.64818,9
49,138,1801.7743288248166,22
48,150,401.61658191603385,24
47,212,315.98581478132365,59
46,161,21.028253528337288,106
45,56,7.708759787702882,14
44,1344,7.75483187527117,3
43,9,7.759212997507867,6
42,616,7.178721765996953,613
41,65,,
40,1,,
39,3,,
38,1,,
37,7,6.2051496631755345,1
36,28,,
35,3,,
34,13,,
33,16,6.636290380253288,1
32,12,5.387531529306431,1
31,56,,
30,5,,
29,9,6.386350979076747,6
28,4,5.773611721262203,2
27,12,6.184468714141345,1
26,7,,
25,64,6.16177269847282,13
24,3,,
23,3,,
19,1,,
16,1,,
