Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,53,0.19180576923076922,52
55,147,0.21145270200720534,134
54,75,0.1989475026893813,43
53,36,0.2114546847875576,19
52,24,0.20210872591511456,11
51,123,0.20720158880094114,34
50,84,0.17510210235563273,8
49,139,0.1852179267670747,22
48,152,0.1797927860196593,26
47,211,0.17244803714727056,60
46,157,0.07440389421338611,103
45,58,0.19734148774034863,13
44,1345,0.12553530510963662,3
43,11,0.3101070841983785,8
42,601,0.26119598138087496,600
41,78,,
40,1,,
39,3,,
38,1,,
37,7,0.1522799312462042,1
36,28,,
35,3,,
34,13,,
33,16,0.422233939119582,1
32,12,0.3848913156828859,1
31,56,,
30,5,,
29,9,0.24864830433746765,6
28,4,0.338191773073595,2
27,12,0.03200388314455577,1
26,7,,
25,63,0.17099732873238965,12
24,4,,
23,3,,
19,1,,
16,1,,
