Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,49,0.2507410693596265,48
55,147,0.2566880112379532,130
54,78,0.1672196897091883,42
53,34,0.11785230042303088,16
52,26,0.1727167773918858,10
51,125,0.2576161726001562,35
50,83,0.6528371321797912,8
49,140,0.35902105358552666,23
48,151,0.2331871900677711,26
47,215,0.25094682224676496,64
46,156,0.19096027582296393,106
45,55,0.26694288817825595,13
44,1345,0.08957944283771743,3
43,10,0.2462972417362323,7
42,605,0.28323329821849663,603
41,75,,
40,1,,
39,3,,
38,1,,
37,7,0.277616268770811,1
36,28,,
35,3,,
34,13,,
33,16,0.27475549773193925,1
32,12,0.14484017495921953,1
31,56,,
30,5,,
29,8,0.23064367554799162,5
28,4,0.35956605951179776,1
27,14,0.3521030729259621,2
26,6,,
25,66,0.6974561655535015,15
24,1,,
23,3,,
19,1,,
16,1,,
