Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,54,0.2616117240466832,53
55,145,0.21493306747024493,133
54,78,0.2375820673524491,45
53,29,0.18126197338972552,14
52,28,0.1818046445126928,10
51,125,0.2298682022476525,35
50,83,0.17142299106807585,8
49,140,0.18966961336443625,23
48,147,0.1866097505606246,22
47,211,0.20448542442933934,56
46,167,0.1177140334389475,109
45,51,0.16434837392017826,12
44,1346,0.146829975365039,3
43,10,0.3471430429600198,7
42,606,0.2698731364200779,604
41,74,,
40,1,,
39,2,,
38,2,0.5564602855282392,1
37,7,0.20798107689587825,1
36,28,,
35,3,,
34,13,,
33,16,0.43261578892242686,1
32,12,0.2970645579174739,1
31,56,,
30,5,,
29,9,0.3653640215397716,6
28,4,0.3215263835296295,2
27,13,0.15871094756758453,2
26,6,,
25,65,0.1589748561665767,14
24,2,,
23,3,,
19,1,,
16,1,,
