Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,52,0.296071266637196,51
55,147,0.20387003453218625,142
54,74,0.15752422748227654,54
53,30,0.14250645648971375,23
52,32,0.13056835291640173,22
51,125,0.11345966091117693,12
50,80,0.834327463191422,61
49,130,0.17013813238883757,124
48,155,0.15648308090570026,124
47,207,0.10986403060894899,179
46,174,0.10330659311435988,151
45,53,0.09908893959262645,26
44,1343,0.08493268223078436,46
43,13,0.47027133278198185,1
42,593,0.09425951103288176,592
41,86,,
40,1,,
39,3,,
38,1,,
37,6,0.07953208361946779,4
36,29,,
35,3,,
34,13,0.0733896927795073,9
33,14,,
32,13,0.07797385723715329,2
31,56,0.08252390671892884,26
30,3,0.20138958374167892,2
29,11,0.15631346275044128,7
28,5,0.2546158743867184,4
27,13,0.3270294103738424,7
26,5,,
25,62,0.2979487548219355,42
24,6,,
23,3,,
19,1,,
16,1,,
