Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,54,0.13263112264150942,53
55,144,0.48825417816529,141
54,74,0.4721626459231055,53
53,38,0.48568224114775427,30
52,23,0.5008919807623429,20
51,127,0.47068900443680706,12
50,76,0.6454348400829877,57
49,137,0.3748061851258985,127
48,147,0.3987567525726629,119
47,209,0.3861241127519819,176
46,171,0.42230068322337955,145
45,59,0.42199727119839064,26
44,1339,0.4263778553360274,42
43,17,0.1658449180363939,1
42,605,0.42472674221230033,604
41,74,,
40,1,,
39,3,,
38,1,,
37,7,0.30467912230492133,5
36,28,,
35,3,,
34,12,0.4213491404927698,8
33,15,0.4907240253478866,14
32,14,0.2749164669355462,3
31,53,0.2891118815446218,24
30,8,0.330383673872182,5
29,8,0.357246479093504,7
28,5,0.3329529163618415,4
27,13,0.19681735870389172,7
26,5,,
25,62,0.2835747967194482,42
24,6,,
23,3,,
19,1,,
16,1,,
