Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,51,0.4414702615676947,50
55,150,0.15942424925621748,144
54,73,0.14422363895056273,55
53,33,0.1468107362969493,27
52,25,0.09920116666953578,19
51,128,0.11168233447608295,12
50,75,0.6015494682291231,56
49,139,0.2280410835075191,128
48,147,0.17174549785461263,120
47,201,0.12921831813603488,169
46,180,0.10830329024599306,147
45,56,0.08458121410167872,25
44,1341,0.07847790256176401,43
43,16,0.29286180888369095,1
42,617,0.0977816746006058,616
41,62,,
40,1,,
39,3,,
38,1,,
37,7,0.5386891792258858,5
36,28,,
35,3,,
34,11,0.21629990912908967,7
33,14,0.2043625212416036,12
32,16,0.1032079660746892,3
31,51,0.07938215344805546,22
30,9,0.07645933483083578,4
29,10,0.12852050637872453,8
28,4,,
27,13,0.2971101104302924,7
26,5,,
25,61,0.22222379246271998,41
24,7,,
23,3,,
19,1,,
16,1,,
