Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,52,,
55,145,0.07775814010951282,141
54,74,0.05252087112068906,53
53,35,0.05108594282945873,27
52,26,0.059846289944015134,20
51,128,0.03819929201016236,13
50,79,0.3037690760093907,61
49,128,0.07326994164607403,122
48,151,0.0474840378031654,118
47,211,0.04556893133767344,177
46,175,0.03737843340420816,150
45,51,0.05231077643177589,23
44,1344,0.028384794236467448,44
43,15,0.052893983536257405,1
42,607,0.031057387496994805,606
41,72,,
39,4,0.02173516082800629,3
38,1,,
37,7,0.08068570486287016,5
36,28,,
35,1,,
34,12,0.08319795321642233,6
33,18,0.0985448288211954,15
32,13,0.04112734237262486,3
31,56,0.05757323527673277,27
30,5,,
29,8,0.03914063192925478,7
28,4,0.07440765808280003,3
27,14,0.1936901510816122,7
26,6,,
25,60,0.20917967351129796,41
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
