Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,49,0.13581320833333332,48
55,149,0.49030339339368595,141
54,73,0.4696912900792954,52
53,35,0.4870045728098539,26
52,26,0.5028255842834157,19
51,128,0.4728257985769515,12
50,77,0.6854008883260015,58
49,133,0.374254775546612,124
48,147,0.39075600722013887,116
47,210,0.3819285956758517,174
46,183,0.4286090669316259,155
45,48,0.42740212852102094,25
44,1342,0.43820503739424893,44
43,15,0.1613435900030542,1
42,609,0.4283583689037901,608
41,70,,
40,1,,
39,3,,
38,1,,
37,5,0.3594749577378059,3
36,30,,
35,3,,
34,13,0.4465436692654051,9
33,15,,
32,13,0.27224802192650194,3
31,55,0.2964669709250585,26
30,6,0.3273265780314023,5
29,9,0.36773774105597856,8
28,3,,
27,12,0.19508679251637107,5
26,8,0.7201903450453391,6
25,63,0.26604674374994647,44
24,4,,
23,3,,
19,1,,
16,1,,
