Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,53,0.11948277592987518,52
55,140,0.05691670426530217,136
54,81,0.02994672747839047,55
53,31,0.02673257017740402,25
52,30,0.02790161840020599,22
51,125,0.02512287362608922,12
50,79,0.43281544524549026,60
49,139,0.03884336841257949,132
48,140,0.020662862768177456,117
47,213,0.013202498761740953,178
46,172,0.010605454924771088,148
45,55,0.007293861403738176,25
44,1344,0.007868751601326409,46
43,13,0.019287054943582405,1
42,603,0.006770248530603499,602
41,76,,
40,1,,
39,3,,
38,1,,
37,7,0.021315901018171688,5
36,28,,
35,3,,
34,10,0.012134684382511775,6
33,17,0.02305414989232417,14
32,14,0.02223738540713946,3
31,53,0.01354869707237688,24
30,7,0.016016993048493855,4
29,9,0.01056463463852053,7
28,5,0.02359793499396496,4
27,12,0.05984187906832461,6
26,6,0.06795666382255806,5
25,61,0.0791424496234677,41
24,7,,
23,3,,
19,1,,
16,1,,
