Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,48,,
55,150,0.05638556338028169,142
54,69,0.062069265306122445,49
53,41,0.034380466206896554,29
52,26,0.021728520000000005,22
51,125,0.009875833333333332,12
50,76,1.190522959736842,57
49,136,0.2795648495587302,126
48,147,0.20095822003762712,118
47,206,0.12082615208576744,172
46,176,0.050479575400602744,146
45,59,0.03134797487733333,27
44,1342,0.036388957483478264,46
43,13,0.6608698987519999,1
42,608,0.05141326446289292,607
41,71,,
40,1,,
39,2,,
38,2,0.0208992,1
37,7,0.05871979948800001,5
36,28,,
35,3,,
34,13,0.20321693336533334,9
33,15,,
32,13,0.15266236152319995,3
31,56,0.12673419451495113,27
30,4,,
29,9,0.045781070573714285,7
28,4,0.037333333333333295,3
27,14,0.19930705851538286,7
26,6,,
25,62,0.6913195424626708,43
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
