Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,51,,
55,147,0.06720151677410716,142
54,71,0.05493955254500339,51
53,37,0.057154671112658664,27
52,25,0.06421054931609138,19
51,126,0.06087109467748553,10
50,83,0.17999635929965346,62
49,124,0.08485484177102555,119
48,162,0.0714174968336392,126
47,204,0.04981737369179506,178
46,171,0.04007309655649727,147
45,56,0.03618855373525405,25
44,1339,0.027668043072708214,41
43,18,0.06569252688079841,1
42,609,0.0343715378222401,608
41,70,,
40,1,,
39,3,,
38,1,,
37,6,0.2697541007482643,4
36,29,,
35,3,,
34,13,0.09722406165937554,9
33,15,,
32,13,0.070296802892583,3
31,51,0.035539799462615575,22
30,9,0.15440894428395974,4
29,9,0.08487245096944675,7
28,5,0.2086881505620636,4
27,13,0.13731818120974448,7
26,5,,
25,62,0.16852857086300993,42
24,6,,
23,3,,
19,1,,
16,1,,
