Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,48,0.5243015768300716,47
55,153,0.20525932114829887,144
54,73,0.1529519106948335,55
53,31,0.22199299517629945,25
52,26,0.16958087234097174,18
51,129,0.13279142912281053,12
50,76,0.2756514776186626,57
49,135,0.24734167546355174,125
48,147,0.17535757156244325,117
47,211,0.1294551525963249,176
46,175,0.1242636403501629,149
45,55,0.0675972528400317,26
44,1339,0.09095282023898066,42
43,17,0.24965686693110467,1
42,615,0.11493494344942143,614
41,64,,
40,1,,
39,3,,
38,1,,
37,7,0.37750436150156147,5
36,28,,
35,2,,
34,13,0.09214548103841133,8
33,11,0.2344114562831203,10
32,18,0.07877712082374379,3
31,53,0.1447781898665255,24
30,8,0.12671794398173608,5
29,8,0.10523761115254998,7
28,5,0.3196849035838821,4
27,12,0.2729906633649325,6
26,6,0.5140553395118956,5
25,66,0.24454678381813874,46
24,2,,
23,3,,
19,1,,
16,1,,
