Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,51,0.12037076788591582,50
55,150,0.06041128750125972,144
54,71,0.03357203919594731,53
53,38,0.029203561302160397,30
52,22,0.02508974708694552,19
51,129,0.019120960461529,13
50,78,0.4355299377260958,60
49,130,0.03971507267783196,123
48,148,0.021086355331366383,116
47,211,0.014601214985751537,175
46,170,0.010593139357476912,143
45,60,0.00869553097663557,25
44,1341,0.00750355202556308,43
43,16,0.023035841203636442,1
42,612,0.007149909503010501,611
41,67,,
40,1,,
39,3,,
38,1,,
37,6,0.01914501119240338,4
36,29,,
35,3,,
34,13,0.010957077498178435,9
33,15,,
32,13,0.020895057689947732,3
31,51,0.015249120502503627,22
30,10,0.015514697858699278,5
29,8,0.01124640970239026,7
28,5,0.029875876831887027,4
27,12,0.04205254728789386,6
26,6,0.07182070895223588,5
25,64,0.07978690877667828,44
24,4,,
23,3,,
19,1,,
16,1,,
