Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,51,0.12285557022142736,50
55,144,0.05917204658234963,138
54,79,0.03171404081960812,55
53,34,0.02765399399027444,28
52,26,0.02908648319881362,21
51,127,0.025046597527792924,13
50,73,0.4191149791814114,55
49,140,0.042163541475647666,128
48,143,0.021508372215552383,116
47,211,0.014724462962922,175
46,170,0.010444832167732123,143
45,62,0.00856386186870024,27
44,1341,0.006881506112884762,45
43,14,0.023007623326689153,1
42,608,0.00651603388101974,607
41,71,,
40,1,,
39,3,,
37,7,0.02246547917701402,4
36,29,,
35,3,,
34,13,0.008901618720042706,9
33,16,,
32,12,0.02205866483960813,3
31,50,0.014568003629825552,21
30,11,0.015121977261845646,5
29,9,0.012067520625549312,8
28,4,,
27,13,0.053129937115685755,7
26,6,,
25,65,0.08020722114846092,46
24,2,,
23,3,,
19,1,,
16,1,,
