Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,48,0.10504563043478261,46
55,154,0.02848444444444444,144
54,71,0.008798113207547172,53
53,35,0.0033033333333333304,27
52,22,0.0015106249999999974,16
51,132,0.0009807692307692286,13
50,73,0.5031175818181819,55
49,136,0.10724487903225807,124
48,158,0.02435483464566929,127
47,195,0.031242105888235287,170
46,181,0.002137302023489932,149
45,54,0.0026216000000000043,25
44,1343,0.0015780000000000004,45
43,14,0.010000000000000009,1
42,614,0.0029484420913540007,613
41,65,,
40,1,,
39,3,,
38,1,,
37,6,0.0051075000000000165,4
36,29,,
35,3,,
34,13,0.007224444444444453,9
33,13,,
32,15,0.008143333333333344,3
31,54,0.026340000024000002,25
30,5,0.11950000000000002,3
29,11,0.010407500000000042,8
28,4,,
27,12,0.022466666666666576,6
26,7,0.07901666666666658,6
25,61,0.037823809523809544,42
24,6,,
23,3,,
19,1,,
16,1,,
