Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,50,,
55,148,0.45525943436614463,142
54,72,0.4423378640528659,52
53,37,0.45302188579022346,28
52,27,0.4727442165174717,22
51,126,0.4594172235768249,13
50,76,0.6206053137414758,58
49,131,0.3394999414683967,122
48,152,0.3635170269351316,119
47,218,0.3713536606632316,185
46,163,0.4495847755378095,146
45,58,0.45890654021016664,26
44,1338,0.4716512503064036,41
43,18,0.1502189766627886,1
42,603,0.4459851478398062,602
41,76,,
40,1,,
39,2,,
38,2,0.43725918632699573,1
37,7,0.41091245257295206,5
36,28,,
35,2,,
34,14,0.46153250147326397,9
33,13,,
32,15,0.24653062444833115,3
31,52,0.3124976760077542,23
30,9,0.317478729913669,5
29,8,0.4330653474208979,7
28,5,0.5769358627156629,4
27,13,0.34943106192354595,7
26,4,,
25,65,0.3847503334323135,44
24,4,,
23,3,,
19,1,,
16,1,,
