Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,52,,
55,144,0.018205307142857143,140
54,76,0.00494685185185185,54
53,35,0.004932857142857142,28
52,24,0.005179473684210528,19
51,126,0.0011359999999999968,10
50,77,0.48472194642857147,56
49,141,0.09445087692307692,130
48,142,0.026340547017094006,117
47,214,0.02369334078770949,179
46,172,0.002032154362416107,149
45,52,0.0022952174057970986,23
44,1346,0.0010518913043478274,46
43,12,,
42,607,0.0027983884316804468,605
41,73,,
40,1,,
39,3,,
38,1,,
37,7,0.0019345999999999934,5
36,28,,
35,2,,
34,13,0.0035893749791666655,8
33,15,0.12063128571428568,14
32,12,0.01200000000000001,1
31,55,0.03843874999999997,24
30,8,0.002720000000000006,5
29,9,0.012820000000000019,8
28,4,,
27,11,0.012959999999999916,5
26,8,0.03675000000000018,6
25,61,0.02783547619047621,42
24,6,,
23,3,,
19,1,,
16,1,,
