Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,47,0.13020684347826086,46
55,149,0.054264945611510795,139
54,77,0.05837818518518518,54
53,28,0.026196857142857147,21
52,33,0.025815192380952385,21
51,126,0.011075299999999998,12
50,72,1.0724067343396226,53
49,139,0.2866556306336,125
48,144,0.21103156697368422,114
47,220,0.13509200450505496,182
46,169,0.05393014316569127,149
45,54,0.021009108354688,25
44,1345,0.03675558584,47
43,12,0.6586392416,1
42,619,0.05030116545798493,618
41,60,,
40,1,,
39,3,,
38,1,,
37,7,0.07524395680000001,5
36,28,,
35,3,,
34,12,0.15505133102399998,8
33,13,0.3653855333166667,12
32,16,0.15330189717333328,3
31,54,0.13484295445504002,25
30,7,0.2227604311936001,5
29,8,0.07046844458057137,7
28,5,0.16017000000000017,4
27,12,0.14465652107946658,6
26,7,1.5212199855492268,6
25,61,0.6645317385479924,42
24,6,,
23,3,,
19,1,,
16,1,,
