Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,54,0.13308692307692307,52
55,146,0.49476416419579583,142
54,74,0.4601439935827507,54
53,35,0.48157615666002473,28
52,24,0.4942294989982512,19
51,128,0.47235375109350913,12
50,71,0.6874094137236574,52
49,140,0.37869503254835074,125
48,146,0.39908212320278674,116
47,218,0.388846562091212,182
46,163,0.4220362731971352,143
45,60,0.4188177147369126,25
44,1343,0.4314963339713832,45
43,14,0.17313367737051988,1
42,612,0.42578076394987335,611
41,67,,
40,1,,
39,3,,
37,7,0.3355555081285543,4
36,29,,
35,2,,
34,13,0.4224826718498574,8
33,17,0.47058383045585467,16
32,11,0.3334538619784726,2
31,54,0.2986478402253726,24
30,7,0.3434876224540105,4
29,9,0.35827120377897276,7
28,5,0.3334825770729998,4
27,13,0.20170859890112308,7
26,6,,
25,63,0.24362117594422125,44
24,4,,
23,3,,
19,1,,
16,1,,
