Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
58,64,0.15603854637289122,63
57,169,0.09353382669073662,161
56,94,0.15466218430544246,71
55,54,0.11158194110595858,46
54,30,0.06759558470490484,22
53,154,0.057450427035340756,22
52,129,5616.793977559848,108
51,221,2.0207254683779126,200
50,186,8.741261797937899,151
49,280,1.0591794098896044,229
48,182,0.1800524848996637,160
47,66,2.776637503034936,29
46,1372,7.628119965870582,47
45,18,2.3843249420935386,2
44,606,0.1462267078385995,605
43,75,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,0.965183552398031,8
38.0,32.0,,
37,3,,
36,15,1.649791092957911,11
35,22,108.87951780971164,20
34,14,0.18377086407313684,2
33,58,2.0566795056848792,26
32,13,1.3644818726815229,7
31,16,157.6551892917244,15
30,9,,
29,20,94.1510163380443,12
28,10,,
27,80,2.7887053149999943,59
26,7,373.4188906975386,2
25,5,14.214578616187374,4
24.0,2.0,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
