Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,52,0.12880060000000002,50
55,150,0.4574908725370505,144
54,67,0.44653186879186657,49
53,41,0.45551865481942294,29
52,26,0.4741494620195178,22
51,124,0.4469849421259386,11
50,74,0.6724548255622645,54
49,140,0.34266435081576263,127
48,150,0.367245932376976,122
47,205,0.3706601352378715,175
46,181,0.455126661241946,154
45,50,0.45971284190881956,26
44,1340,0.4758685753617869,43
43,16,0.12799656230011225,1
42,605,0.4500740173913391,604
41,74,,
40,1,,
39,3,,
37,8,0.411008822993621,5
36,28,,
35,2,,
34,14,0.4671113686015035,9
33,13,,
32,15,0.2582893652190641,3
31,54,0.323006438290589,25
30,6,0.2952836612894786,4
29,8,0.3895384025846399,6
28,6,0.5548141523756334,4
27,12,0.30817445813069927,6
26,6,0.9477350123290827,5
25,62,0.26805022806225237,42
24,6,,
23,3,,
19,1,,
16,1,,
