Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,50,0.12756432587683486,49
55,150,0.028670072797018237,143
54,71,0.01135619763534234,52
53,37,0.01419391248360169,28
52,22,0.009374000010023129,17
51,130,0.001984136280880136,12
50,79,2847866.3556192564,60
49,132,3.9526544335029246,125
48,148,13.128032447442333,118
47,205,1479.1056226239234,171
46,186,15439.276712249757,155
45,49,665.9100002177656,26
44,1339,667.0659374785423,42
43,17,159.9346862428399,1
42,608,314.1932951502214,607
41,71,,
39,4,489.42558700302556,3
38,1,,
37,7,707.8626190938627,5
36,28,,
35,3,,
34,13,519.8395603856459,9
33,15,,
32,12,926.860376034495,2
31,56,317.9398030507726,26
30,5,163.0704052840137,4
29,8,423.00748816174126,6
28,6,237.9516101375453,4
27,13,538.9124109613373,7
26,6,,
25,60,788.7757644412513,41
24,7,,
23,3,,
19,1,,
16,1,,
