Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,50,,
55,142,0.07731636817226892,136
54,79,0.0773151280833946,53
53,39,0.07085412970275717,31
52,22,0.04553078441754289,20
51,128,0.04672925089165909,13
50,74,1.5568902197792998,56
49,141,0.8539201176691555,130
48,144,0.5584117815681695,119
47,210,0.7029518344185206,177
46,163,0.40140048859616345,138
45,67,0.3402922540210174,27
44,1338,0.3256069672517027,42
43,17,0.8147803470214985,1
42,614,0.29988017241433046,613
41,65,,
40,1,,
39,2,,
38,2,0.33083231359757515,1
37,7,0.2191475827520553,5
36,28,,
35,2,,
34,13,0.2512996412031091,8
33,15,1.5784720391895273,14
32,14,0.6873521372135127,3
31,54,0.6670986757475025,25
30,7,0.6652337050487029,5
29,8,0.5779439833898387,7
28,5,1.6200999999999999,4
27,12,1.113523120449365,6
26,6,2.1741167249954083,5
25,63,1.619424629581136,43
24,5,,
23,3,,
19,1,,
16,1,,
