Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,50,,
55,151,0.05824719586206896,145
54,66,0.057068489795918366,49
53,38,0.03776917538461539,26
52,26,0.026210336842105265,19
51,126,0.009838992000000001,10
50,80,1.1445940198352542,59
49,132,0.26647853207587097,124
48,153,0.1866768641194754,122
47,203,0.1325940869384971,173
46,180,0.04975848968794702,151
45,51,0.030945197536,24
44,1344,0.03437647514104889,45
43,14,0.6566454702079999,1
42,608,0.05004555473389496,607
41,71,,
40,1,,
39,2,,
38,2,0.011766399999999996,1
37,7,0.07165330739968,5
36,28,,
35,3,,
34,13,0.20093703113777778,9
33,13,,
32,15,0.1507825923362133,3
31,51,0.13840289254260363,22
30,10,0.19756056437760003,5
29,8,0.04036149095131429,7
28,5,0.14221999999999987,4
27,12,0.08695698619374928,6
26,6,1.33581783648,5
25,66,0.7409399756483633,46
24,2,,
23,3,,
19,1,,
16,1,,
