Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,50,,
55,151,0.7276875978004491,145
54,70,0.10548165823452171,57
53,36,0.17658491552781047,30
52,23,0.10567089940041549,20
51,119,0.07519583211752362,114
50,86,0.2215541357121593,75
49,132,0.1565507263145324,125
48,151,0.1054784375849277,134
47,212,0.07128060403256586,197
46,177,0.07381823612264607,159
45,52,0.06917793632818657,40
44,1210,0.040716138263407316,1209
43,145,0.06934261498660703,11
42,599,,
41,79,0.04913070807727404,3
40,2,,
39,3,,
38,1,,
37,7,0.05560983685960441,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.05776132790742394,2
31,48,0.04387910876833066,21
30,13,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
