Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,48,,
55,150,0.19388644595489607,142
54,71,0.1898953166719608,55
53,39,0.2039711227900781,31
52,23,0.24798115891579312,21
51,116,0.15959594118064876,112
50,88,0.2143211654027956,75
49,138,0.17424961804296005,131
48,141,0.16280669673162718,130
47,209,0.18135472980438214,190
46,180,0.16897609476614772,155
45,54,0.1700658941925453,38
44,1216,0.11538897524479931,1213
43,141,0.15124850488069563,11
42,607,,
41,72,0.06080349991697853,4
40,1,,
39,3,,
38,1,,
37,7,0.09878795498264248,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.08377748938391516,2
31,52,0.10500708924910515,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
