Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,55,0.2620346242365802,53
55,149,0.04753680379323339,146
54,70,0.03150046383603709,58
53,36,0.03154110978104758,31
52,26,0.053494356597896836,24
51,111,0.04161694080684623,110
50,86,0.0729791718592055,71
49,137,0.05656472983067693,126
48,155,0.038145597729309554,139
47,201,0.03973611928473384,191
46,183,0.0178748148074403,159
45,49,0.026016134662605928,37
44,1201,0.02357335497563812,1197
43,155,0.019955111941348438,9
42,614,0.017752730315378374,612
41,67,0.1439963064143291,4
40,1,,
39,3,,
38,1,,
37,5,,
36,27,0.03264593611790915,25
35,6,,
34,13,,
33,16,,
32,12,0.01919179535275617,2
31,53,0.012999610847874547,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
