Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,48,,
55,152,0.11951237938689194,144
54,71,0.0882078402540099,57
53,37,0.10969170305880231,31
52,23,0.05730497503229962,21
51,125,0.058226745948137405,121
50,80,0.15951948983049188,76
49,129,0.08652000656445936,123
48,161,0.09344522249694634,142
47,198,0.07593829931456161,191
46,181,0.07662395622565278,157
45,52,0.07930459832721566,38
44,1205,0.061517640215873935,1202
43,150,0.03793920632548501,9
42,605,0.05855217724556421,603
41,75,0.008882585166950138,3
40,2,,
39,3,,
38,1,,
37,6,0.03020164652847679,1
36,25,0.07765505820909378,24
35,7,,
34,13,,
33,16,,
32,12,0.1047036440691228,2
31,52,0.020914469109185353,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
