Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,53,0.8116534961538462,52
55,146,0.1000960252112676,142
54,76,0.012805317666666692,60
53,33,0.037440025000000016,30
52,27,0.0308510875833333,24
51,114,0.01487746805309736,113
50,87,0.019914704533333324,75
49,136,0.02598986472093023,129
48,146,0.03042838359398495,133
47,212,0.005279208397959195,196
46,168,0.0057241912818792075,149
45,61,0.006581648974358971,39
44,1191,0.004415559747687132,1189
43,164,0.001057446999999978,10
42,617,0.0024032397727272716,616
41,63,0.003045399999999976,4
40,1,,
39,3,,
38,1,,
37,6,0.0005094199999999827,1
36,28,0.00068852259259258,27
35,4,,
34,13,,
33,16,,
32,12,0.005134799999999995,2
31,55,0.0008965710714285742,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
