Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,51,,
55,139,1.3078586127564923e-07,134
54,72,1.1839515813109418e-07,48
53,46,1.307600214875818e-05,31
52,24,9.243181891259318e-07,22
51,110,0.004661086679386973,107
50,91,0.023012357841046768,73
49,141,0.7419726981205724,132
48,149,0.49138210172002544,139
47,206,0.44354545675134543,196
46,169,0.5422338013641205,150
45,56,0.5285104997973703,35
44,1208,0.3159094461724564,1202
43,151,0.2931805610444194,10
42,631,0.32350973015069173,630
41,48,0.44493501364617205,3
40,2,,
39,3,,
38,1,,
37,6,0.03807328672329113,1
36,25,0.4581763590971573,24
35,7,,
34,13,,
33,16,,
32,12,0.47122767863462234,2
31,55,0.33117083437799394,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
