Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,52,,
55,149,0.3992829379310345,145
54,70,0.45756073705401684,57
53,36,0.5034085171376639,30
52,26,0.5546658185140838,23
51,113,0.41920363061814986,111
50,90,0.44082824096472517,76
49,131,0.4650588742564736,125
48,153,0.537479426384066,136
47,200,0.5080890922390526,187
46,185,0.5467638040539331,157
45,52,0.5372630426554995,38
44,1214,0.3076486619770446,1211
43,138,0.34109832781774996,6
42,609,0.3241467507180487,604
41,73,0.49238579028289664,2
40,3,,
39,3,,
38,1,,
37,6,0.041250193118636425,1
36,27,0.4914822532037912,26
35,5,,
34,13,,
33,16,,
32,12,0.520730117467903,2
31,56,0.30743456541646624,29
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
