Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,47,0.545555955,46
55,155,0.09127152958620692,145
54,69,0.05894126732142856,56
53,39,0.026900275312500044,32
52,24,0.020064823999999995,23
51,117,0.01883268895652174,115
50,86,0.01879759749999999,76
49,135,0.03206507882945736,129
48,151,0.03447176896376813,138
47,212,0.006884000323383092,201
46,161,0.006068790523809529,147
45,61,0.006196423405405409,37
44,1204,0.0045280212749999995,1200
43,153,0.0007161749999999966,10
42,605,0.0026282145198675494,604
41,74,0.002550199999999947,3
40,2,,
39,3,,
38,1,,
37,7,0.000347370000000069,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,0.0002721999999999447,1
31,56,0.00015288607142857624,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
