Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,54,0.26742938669198224,53
55,140,0.026139089183308956,137
54,75,0.02656244863020175,54
53,39,0.009406054013670322,30
52,24,0.012416005549785643,21
51,117,0.05564728690976687,113
50,87,1408338.7181584365,75
49,133,0.09273645337673066,126
48,157,0.7169330590115812,141
47,207,7.590888279502389,199
46,170,0.014122920952010933,154
45,55,0.4769085773762494,38
44,1210,0.28563666206380983,1207
43,146,0.33127316016702174,10
42,606,0.3052536668299466,605
41,73,0.4729809906865203,3
40,2,,
39,3,,
38,1,,
37,6,0.07953844488265527,1
36,26,0.4773153958429152,25
35,6,,
34,13,,
33,16,,
32,11,0.5435145865599683,1
31,54,0.32048927677985534,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
