Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,51,,
55,144,0.05178518352517987,139
54,74,0.016252629090909108,55
53,38,0.042776623333333284,30
52,27,0.02206466008333328,24
51,118,0.018227423931623937,117
50,84,0.011116890394736826,76
49,137,0.014738705335877846,131
48,150,0.013321724050359703,139
47,206,0.007279827780612238,196
46,173,0.004390464772727265,154
45,56,0.0038513667692307734,39
44,1199,0.004331224553049285,1197
43,157,0.0017509736363636478,11
42,599,,
41,80,0.002627974999999949,4
40,1,,
39,3,,
38,1,,
37,7,0.0031694700000000076,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.0,2
31,55,0.00031302000000001107,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
