Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,53,0.32882795961019556,52
55,145,0.13582597377438976,141
54,74,0.09382321859759256,57
53,36,0.0955207449825341,30
52,23,0.11801462243287557,20
51,116,0.11813122827195703,111
50,87,0.13331177817049525,73
49,137,0.12122314227991882,128
48,148,0.1163180618119956,134
47,201,0.09497991554188888,186
46,182,0.08661045712808586,153
45,55,0.0702894613174259,37
44,1218,0.05621582811681424,1214
43,139,0.03445887426527429,10
42,613,0.05052951351135595,612
41,66,0.24709619253672419,3
40,2,,
39,3,,
38,1,,
37,7,0.026296847697046044,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.10729707003478861,2
31,55,0.03252039016577541,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
