Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,47,0.305214893141241,46
55,151,0.047219677666525406,141
54,77,0.02009743884713426,60
53,32,0.01449773056399023,29
52,29,0.02019303122254507,25
51,109,,
50,91,0.019127896228522914,75
49,134,0.013034992718287888,127
48,148,0.011759172410605086,133
47,211,0.008298018450257018,195
46,175,0.006571485106322912,155
45,52,0.007226971395518383,36
44,1212,0.005445771715339336,1207
43,145,0.005359350623697258,9
42,615,0.004923343489711827,613
41,66,0.007050841409874498,4
40,1,,
39,3,,
38,1,,
37,6,0.0017774211178843702,1
36,27,0.006990946465325891,26
35,5,,
34,13,,
33,16,,
32,12,0.010457175284869447,2
31,53,0.003495316089889423,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
