Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,47,0.29579390440378167,46
55,156,0.045104691654383244,146
54,70,0.024807332793880022,58
53,32,0.015035989438268624,27
52,29,0.019130944897805688,23
51,114,0.021600492636186765,112
50,83,0.022686681938527464,70
49,142,0.016645881020687668,130
48,144,0.014078928408757603,132
47,215,0.008844387326415497,198
46,172,0.006543854940565295,155
45,52,0.007871638455834266,36
44,1211,0.0054890311374728735,1206
43,148,0.005883415057698223,11
42,607,,
41,72,0.007967544375676594,4
40,1,,
39,3,,
38,1,,
37,7,0.004872457669261365,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.010068442749691986,2
31,55,0.003427870556569538,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
