Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,56,0.5196945446468872,55
55,142,0.05824827682909595,141
54,75,0.03515975707595682,58
53,35,0.036585131637823266,30
52,26,0.07039974128702461,23
51,107,0.03905773896983025,105
50,97,0.08327633633903053,77
49,136,0.04735377888897176,131
48,147,0.035959875245267316,136
47,204,0.030162599971987922,191
46,182,0.02252032424438699,158
45,52,0.031247606043130493,39
44,1198,0.02775934813532635,1196
43,155,0.015656020344249972,8
42,615,0.01925329663951299,612
41,67,0.17825187303554352,4
40,1,,
39,3,,
38,1,,
37,7,0.03229577969989916,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.009519033088006945,2
31,51,0.00892862027209728,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
