Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,47,0.3468966660470982,46
55,161,0.14004157615653767,151
54,65,0.16106657352850126,58
53,32,0.18798201702464773,27
52,31,0.1619749154710351,25
51,116,,
50,80,0.1554010214854206,71
49,143,0.1524632041240814,132
48,141,0.14335161117005638,131
47,208,0.15002568440494873,190
46,174,0.16551784946930853,149
45,60,0.18274898828066116,38
44,1212,0.11777147943419661,1209
43,144,0.14404964696640724,10
42,608,0.11737356616510224,607
41,72,0.2663337892806992,4
40,1,,
39,3,,
38,1,,
37,7,0.05993123215578766,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.2740799794227752,2
31,52,0.11576234505841998,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
