Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,49,,
55,154,0.40036296123809517,147
54,68,0.43245867690909096,57
53,36,0.49360306262910886,30
52,26,0.5530118761360642,23
51,116,0.4179636597103355,114
50,87,0.4086507431372045,76
49,135,0.46664561518804953,129
48,154,0.5219653333654721,141
47,199,0.494276633066552,191
46,174,0.5359031065998686,150
45,58,0.5130174235087562,37
44,1209,0.3071835737999158,1205
43,148,0.3018686895401429,10
42,604,0.3237441085308287,603
41,76,0.4982899879239103,4
40,1,,
39,3,,
38,1,,
37,7,0.0468489069776552,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.5259886900716395,2
31,49,0.29491733036712225,22
30,12,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
