Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,52,0.3478000644328233,51
55,150,0.1675407276019414,145
54,67,0.14119775530400955,54
53,40,0.1767980301897571,31
52,24,0.15456505817204383,22
51,120,0.12183173305948011,117
50,83,0.16119728275935152,75
49,138,0.14900506464321622,131
48,151,0.1395271797782058,140
47,199,0.14670588764099646,190
46,181,0.1652225316243598,156
45,48,0.19103629218225948,33
44,1203,0.11567146462328501,1195
43,158,0.13006300837924217,10
42,617,0.11815179220023166,616
41,63,0.2667572562942041,4
40,1,,
39,3,,
38,1,,
37,6,0.04972194736639346,1
36,23,0.1158248191943818,22
35,9,,
34,13,,
33,16,,
32,12,0.2740057293832159,2
31,51,0.11644607786641413,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
