Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,52,0.46630602000359417,50
55,147,0.17190410186226804,141
54,77,0.1714095588002861,60
53,34,0.1795498800180961,31
52,24,0.16632313308122867,22
51,111,0.1548335523153928,108
50,91,0.15254569685474872,74
49,140,0.15312273669476378,132
48,142,0.14259410424499566,132
47,214,0.1647433473291145,197
46,166,0.18220503152556952,148
45,62,0.18037825286968753,39
44,1211,0.136675745223954,1209
43,144,0.13630447261572662,10
42,611,0.1308048885167768,610
41,68,0.25969092968437096,3
40,2,,
39,3,,
38,1,,
37,7,0.057521355847361066,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.24870533274598883,2
31,51,0.12077032437219733,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
