Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,54,0.387932128760936,53
55,147,0.035535410882328845,144
54,70,0.023623029361336405,56
53,34,0.01329516506833027,27
52,30,0.01871108062019217,24
51,114,0.018932442136415404,113
50,85,0.022349103799053926,73
49,136,0.013265921490250477,127
48,152,0.010647410099197516,137
47,208,0.008445404054024613,196
46,167,0.007247483882520526,148
45,57,0.0068392374813587955,34
44,1211,0.005245724543148948,1204
43,150,0.004338230951497024,11
42,615,,
41,64,0.0021876065880174766,4
40,1,,
39,3,,
38,1,,
37,7,0.0012930022514681117,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.008541367457848503,2
31,53,0.002946624147231851,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
