Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,47,0.3621173709906606,46
55,149,0.19548569845354188,139
54,72,0.18263182942752093,53
53,42,0.22178463142597019,32
52,25,0.2501275054753761,24
51,112,0.1513347908254518,111
50,89,0.20633245381401225,75
49,136,0.16668647781296433,129
48,152,0.17263724916540982,139
47,199,0.1861174191033552,189
46,178,0.16669816451734423,152
45,56,0.17350740412319893,37
44,1221,0.11760843864259944,1217
43,135,0.14979053880811566,9
42,613,0.11917952406496236,611
41,67,0.06451357357962058,3
40,2,,
39,3,,
38,1,,
37,7,0.09067527506621142,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.08442563525707236,2
31,51,0.09536066946203264,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
