Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,52,0.44867291101340817,51
55,147,0.07985015997283886,142
54,75,0.0917557997680093,59
53,34,0.04670988499172155,30
52,27,0.05436660358838797,24
51,112,0.05546579186267615,111
50,87,0.09022227274289532,73
49,138,0.06235034489492632,129
48,146,0.05716748276422822,133
47,210,0.03537378230489454,194
46,176,0.022700630698761697,155
45,53,0.023804160147102446,37
44,1213,0.01731959323505977,1209
43,143,0.012388825025903303,9
42,607,0.019432658781533194,605
41,74,0.052469214314808055,4
40,1,,
39,3,,
38,1,,
37,6,0.04756752201358827,1
36,26,0.03932288523135174,25
35,6,,
34,13,,
33,16,,
32,12,0.05051282959389569,2
31,53,0.009800481052182588,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
